66,1,0,384,1856,15,1,1,0,1,0
66,1,0,1282,3497,16,1,1,0,-2,0
66,1,0,1402,4554,10,1,8,0,11,0
66,1,0,1060,6515,11,1,8,0,9,0
66,1,0,1209,10531,13,1,7,0,1,0
66,1,0,1503,12187,3,1,18,0,1,0
66,1,0,1362,14871,9,1,13,0,1,0
66,1,0,319,16762,6,1,17,0,1,0
66,1,0,580,17704,7,1,17,0,1,0
66,1,0,1581,21002,1,1,24,0,1,0
66,1,0,476,22234,2,1,24,0,1,0
66,1,0,442,1641,3,1,13,0,2,0
66,1,0,1103,2554,1,1,16,0,1,0
66,1,0,810,3612,7,1,11,0,1,0
66,1,0,322,6330,10,1,9,0,-3,0
66,1,0,216,9164,13,1,7,0,1,0
66,1,0,141,14686,12,1,9,1,-6,0
66,1,0,1601,21431,9,1,14,-2,6,0
66,1,0,1143,26470,5,1,19,11,-1,0
66,1,0,315,58576,16,1,9,9,1,0
66,1,0,415,2015,5,1,11,1,-14,0
66,1,0,531,3886,16,1,1,1,2,0
66,1,0,682,5392,15,1,3,1,1,0
66,1,0,1074,17305,9,1,10,1,1,0
66,1,0,471,23332,11,1,9,1,1,0
66,1,0,1526,27557,8,1,13,1,1,0
66,1,0,144,31104,10,1,12,1,-2,0
66,1,0,199,32750,14,1,9,2,-1,0
66,1,0,1390,46684,3,1,21,1,-11,0
66,1,0,591,49587,4,1,21,1,-11,0
66,1,0,142,61585,6,1,21,-3,-9,0
66,1,0,1247,1860,6,1,10,1,1,0
66,1,0,1548,3237,15,1,2,-6,1,0
66,1,0,500,4200,16,1,2,6,3,0
66,1,0,1054,8874,10,1,9,-1,-6,0
66,1,0,1627,13000,5,1,15,1,-6,0
66,1,0,1384,18982,11,1,10,-14,-1,0
66,1,0,888,21431,13,1,9,2,1,0
66,1,0,372,27597,3,1,20,1,-8,0
66,1,0,1153,31274,1,1,23,1,-15,0
66,1,0,126,38762,9,1,16,1,-6,0
66,1,0,1518,1586,15,1,1,1,1,0
66,1,0,70,3277,16,1,1,-2,-3,0
66,1,0,63,4455,2,1,16,-1,-5,0
66,1,0,740,5612,1,1,18,-11,1,0
66,1,0,828,7797,12,1,8,-11,-4,0
66,1,0,1274,8870,11,1,10,-9,-1,0
66,1,0,1479,21760,3,1,19,1,-5,0
66,1,0,1142,22858,5,1,18,1,2,0
66,1,0,778,39944,14,1,10,3,3,0
66,1,0,714,2130,12,1,4,-6,2,0
66,1,0,1246,3641,13,1,4,-6,-5,0
66,1,0,688,5093,15,1,3,-1,11,0
66,1,0,198,6395,16,1,3,1,-13,0
66,1,0,824,8002,3,1,17,-8,-6,0
66,1,0,863,9274,4,1,17,-15,1,0
66,1,0,1351,11842,1,1,21,-6,-1,0
66,1,0,892,13389,7,1,16,1,-14,0
66,1,0,574,23192,5,1,19,-3,-6,0
66,1,0,1572,45127,6,1,19,-5,-4,0
66,1,0,1546,47287,10,1,16,1,-5,0
66,1,0,1026,52346,2,1,25,-4,1,0
66,1,0,1441,1407,14,1,2,-1,2,0
66,1,0,1576,2434,15,1,2,-5,-10,0
66,1,0,569,3427,16,1,2,2,-10,0
66,1,0,608,5287,8,1,11,3,-1,0
66,1,0,911,6290,2,1,18,2,-3,0
66,1,0,302,7019,1,1,20,-5,6,0
66,1,0,625,8640,3,1,19,11,-1,0
66,1,0,881,10476,4,1,19,-13,1,0
66,1,0,418,13958,11,1,13,-6,-1,0
66,1,0,825,15140,10,1,15,1,1,0
66,1,0,334,20179,7,1,20,-1,3,0
66,1,0,536,1412,14,1,2,-14,6,0
66,1,0,1364,2474,15,1,2,-6,-4,0
66,1,0,1138,3627,16,1,2,-4,-1,0
66,1,0,620,4505,1,1,18,-5,2,0
66,1,0,359,6101,2,1,18,1,4,0
66,1,0,492,7149,3,1,18,2,2,0
66,1,0,613,9308,7,1,15,-10,2,0
66,1,0,50,10611,8,1,15,-10,6,0
66,1,0,1475,13175,10,1,14,-1,-5,0
66,1,0,1478,14213,11,1,14,-3,2,0
66,1,0,1053,16028,12,1,14,6,2,0
66,1,0,1516,1402,14,1,2,-1,-8,0
66,1,0,472,3637,15,1,2,1,-3,0
66,1,0,1416,4165,16,1,2,-1,2,0
66,1,0,962,6530,10,1,9,1,4,0
66,1,0,907,7353,9,1,11,3,1,0
66,1,0,628,8835,12,1,9,6,-5,0
66,1,0,208,19520,13,1,9,-4,2,0
66,1,0,94,21182,6,1,17,-1,-3,0
66,1,0,526,28086,2,1,22,2,1,0
66,1,0,439,30426,4,1,21,4,1,0
66,1,0,107,31408,5,1,21,2,2,0
66,1,0,1135,1746,13,1,3,2,0,0
66,1,0,1606,3073,14,1,3,6,-3,0
66,1,0,637,4215,15,1,3,-5,2,0
66,1,0,552,5452,16,1,3,2,4,0
66,1,0,1511,7029,2,1,18,2,-10,0
66,1,0,667,8770,8,1,13,-8,2,0
66,1,0,1225,10171,3,1,19,-3,6,0
66,1,0,1328,14103,5,1,18,2,1,0
66,1,0,1259,18572,1,1,24,4,1,0
66,1,0,830,25851,9,1,17,1,-7,0
66,1,0,1078,27058,11,1,16,-5,2,0
66,1,0,430,42738,4,1,24,2,1,0
66,1,0,921,59400,10,1,19,-3,-1,0
66,1,0,826,1651,15,1,1,1,-2,0
66,1,0,460,2828,16,1,1,1,1,0
66,1,0,1393,3557,14,1,4,2,-8,0
66,1,0,1196,5398,11,1,8,0,0,0
66,1,0,335,7024,5,1,15,-3,1,0
66,1,0,184,9678,1,1,20,2,-4,0
66,1,0,1504,11015,3,1,19,4,-11,0
66,1,0,851,13793,4,1,19,-10,-2,0
66,1,0,508,24130,6,1,18,2,9,0
66,1,0,1019,28251,7,1,18,6,-2,0
66,1,0,677,29567,8,1,18,1,7,0
66,1,0,655,31344,10,1,17,1,2,0
